10544	"MARCHF2"	"MARCHF2"	chr19	+	8430607	8430867	8430657	8430867	8426608	8426804	10544	0,0,161	790,1,3623	3,26,55	3422,3088,5105	119	69	2.43217468652e-05	0.018051296501515626	0.0,0.0,0.025	0.001,0.005,0.006	0.004
10546	"MARCHF2"	"MARCHF2"	chr19	+	8430610	8430867	8430657	8430867	8426608	8426804	10546	0,0,160	790,1,3623	1,29,53	3422,3088,5105	116	69	1.305976951e-05	0.01148776021712963	0.0,0.0,0.026	0.0,0.006,0.006	0.005
10831	"NPTN"	"NPTN"	chr15	-	73563235	73563402	73563235	73563257	73570149	73570423	10831	0,0,237	363,3,4214	97,202,169	2205,2075,1751	138	69	7.04599421962e-05	0.03780275822151388	0.0,0.0,0.027	0.022,0.046,0.046	-0.029
117	"STAT2"	"STAT2"	chr12	-	56355707	56355803	56355707	56355791	56356131	56356285	117	22,12,23	1,0,2	5,23,5	4,8,1	81	69	0.000108706580987	0.04964964035463943	0.949,1.0,0.907	0.516,0.71,0.81	0.273
120	"CD68"	"CD68"	chr17	+	7579809	7580327	7579890	7580327	7579637	7579726	120	208,3,5620	10,0,67	3349,1939,1556	112,65,40	138	69	5.55974641336e-06	0.0060019989689681814	0.912,1.0,0.977	0.937,0.937,0.951	0.021
13244	"MAP3K7CL"	"MAP3K7CL"	chr21	+	29149133	29149205	29149188	29149205	29145576	29145707	13244	243,0,1989	6264,2,37220	1537,3998,563	43812,34879,3969	124	69	1.04913265853e-08	2.2651727854625004e-05	0.021,0.0,0.029	0.019,0.06,0.073	-0.034
13247	"MAP3K7CL"	"MAP3K7CL"	chr21	+	29149159	29149205	29149188	29149205	29145576	29145707	13247	243,0,1990	6264,2,37220	1537,4000,564	43812,34879,3969	98	69	9.89808002227e-09	2.2651727854625004e-05	0.027,0.0,0.036	0.024,0.075,0.091	-0.042
13249	"MAP3K7CL"	"MAP3K7CL"	chr21	+	29149164	29149205	29149188	29149205	29145576	29145707	13249	243,0,1988	6264,2,37220	1545,3999,563	43812,34879,3969	93	69	8.94124541073e-09	2.2651727854625004e-05	0.028,0.0,0.038	0.025,0.078,0.095	-0.044
13870	"PIK3CB"	"PIK3CB"	chr3	-	138681966	138682060	138681966	138682045	138683677	138683787	13870	6,0,67	133,6,899	11,5,13	696,776,290	84	69	1.73486780497e-09	7.203031689633334e-06	0.036,0.0,0.058	0.013,0.005,0.036	0.013
13871	"PIK3CB"	"PIK3CB"	chr3	-	138681966	138682063	138681966	138682045	138683677	138683787	13871	6,0,67	133,6,899	8,5,12	696,776,290	87	69	8.41552383335e-11	6.662289701402084e-07	0.035,0.0,0.056	0.009,0.005,0.032	0.015
14087	"FXYD5"	"FXYD5"	chr19	+	35164007	35164245	35164155	35164245	35160708	35160801	14087	17,0,160	339,13,6110	216,278,141	7044,4575,1986	138	69	3.56327112364e-05	0.02350769144068056	0.024,0.0,0.013	0.015,0.029,0.034	-0.014
14089	"FXYD5"	"FXYD5"	chr19	+	35164076	35164245	35164155	35164245	35160708	35160801	14089	17,0,161	339,13,6110	216,278,140	7044,4575,1986	138	69	4.47500408772e-05	0.02697794667178125	0.024,0.0,0.013	0.015,0.029,0.034	-0.014
14090	"FXYD5"	"FXYD5"	chr19	+	35164115	35164245	35164155	35164245	35160708	35160801	14090	17,0,164	339,13,6110	217,280,140	7044,4575,1986	109	69	6.01192812377e-05	0.03482519339988719	0.031,0.0,0.017	0.019,0.037,0.043	-0.017
14187	"MPL"	"MPL"	chr1	+	43338087	43338231	43338098	43338231	43337817	43337927	14187	0,0,15	144,1,1547	64,11,25	2000,899,887	80	69	7.97458629573e-05	0.03945758844241406	0.0,0.0,0.008	0.027,0.01,0.024	-0.018
14763	"RPS4X"	"RPS4X"	chrX	-	72275052	72275174	72275052	72275150	72275543	72275724	14763	28,9,0	162,42,171	48,0,0	705,570,180	93	69	6.35004010991e-05	0.035907964907229174	0.114,0.137,0.0	0.048,0.0,0.0	0.068
15157	"ERBIN"	"ERBIN"	chr5	+	65992709	65992907	65992816	65992907	65988634	65988682	15157	544,4,1195	2,0,3	3230,2276,578	30,46,3	138	69	7.48296761427e-05	0.037812868263598406	0.993,1.0,0.995	0.982,0.961,0.99	0.018
15200	"NAP1L1"	"NAP1L1"	chr12	-	76049199	76049300	76049199	76049250	76049755	76049785	15200	114,0,2153	273,5,5705	1018,359,269	4500,4659,3148	119	69	1.60277543571e-07	0.00025377277732075	0.195,0.0,0.18	0.116,0.043,0.047	0.056
15629	"CMIP"	"CMIP"	chr16	+	81696529	81696667	81696559	81696667	81693438	81693487	15629	53,0,215	617,1,1791	191,71,94	3652,2076,2658	99	69	5.88862292261e-13	6.992739720599375e-09	0.056,0.0,0.077	0.035,0.023,0.024	0.017
15921	"PPIF"	"PPIF"	chr10	+	79352268	79352392	79352316	79352392	79351486	79351583	15921	13,0,43	68,6,263	31,20,55	875,310,450	117	69	9.8583208183e-05	0.046827023886925	0.101,0.0,0.088	0.02,0.037,0.067	0.022
17162	"VASP"	"VASP"	chr19	+	45522032	45522217	45522167	45522217	45521321	45521406	17162	2,0,71	139,7,683	5,21,20	863,325,627	138	69	1.27777123438e-07	0.0002167647629751786	0.007,0.0,0.049	0.003,0.031,0.016	0.002
17441	"PTMA"	"PTMA"	chr2	+	231711881	231711977	231711889	231711977	231711347	231711419	17441	54,1,1440	1937,47,26510	373,575,447	14307,27440,10789	77	69	3.49712653896e-05	0.02350769144068056	0.024,0.019,0.046	0.023,0.018,0.036	0.004
